Moonee Valley Transfer Station,188 Holmes Road
Alexandra Resource Recovery Centre,119 Mount Pleasant Road
Calleja Transfer Station,30 Baldwin Road
Cleanaway Altona,72-80 Harcourt Road
Alvie Resource Recovery Centre,977 Corangamite Lake Road
Anglers Rest Trailer,Callaghan-McNamara Road
Anglesea Landfill,50 Coalmine Road
Apollo Bay Resource Recovery Centre,10-18 Arthur Court
Apsley Transfer Station,Apsley-Casterton Road
Ararat Resource Recovery Centre,Surface Hill Road
Ardmona Resource Recovery Centre,770 Turnbull Road
Avenel Resource Recovery Centre,145 Monea Road
Avoca Transfer Station,Russell Street
Bacchus Marsh Transfer Station,Moore Street South
Ballan Transfer Station,Monteville Lane
Repeat Plastics Australia,50 Elsworth Street
Ballarat Transfer Station,Gillies Street
Balmoral Resource Recovery Centre,55 Hamilton Natimuk Road
Barmah Transfer Station,Corner Moira Lakes Road & Racecourse Road
Foamex Vic,31-33 Gatwick Road
Megara,908-920 Mountain Highway
Bealiba Transfer Station,Whitehills Road
Beaufort Transfer Station,Racecourse Road
Beechworth Transfer Station,1620 Diffey Road
Banyule Waste Recovery Centre,307-325 Waterdale Road
Bemm River Transfer Station,2 Alans Track
Benalla Resource Recovery Centre,Old Farnley Road
Benambra Transfer station,142 Tip Road
Triple R Waste Bendigo,4 Rohs Road
Bendoc Transfer Station,54 Clarkeville Road
Beulah Transfer Station & Resource Recovery Centre,Birchip-Rainbow Road
Birregurra Resource Recovery Centre,77 Scouller Street
Boinka Hard Waste Compound,Kelly Road
Bonang Transfer Station,16 Mailing Road
Bowser Landfill,5 Coleman Road
Braeside Transfer Station,12-14 Tarnard Drive
Branxholme Resource Recovery Centre,114 Branxholme Byaduk Road
Broadford Resource Recovery Centre,Mia Mia Road
Brodribb River Trailer,Sandy Flat Road
Cleanaway Brooklyn,174 Old Geelong Road
East Brunswick Transfer Station,32 Kirkdale Street
Bruthen Transfer Station,109 Great Alpine Road
Buchan Transfer Station,2337 Bruthen-Buchan Road
Buldah Trailer,Buldah Road
Boroondara Transfer Station,648 Riversdale Road
Bingo Campbellfield,201-203 Northbourne Road
MAP Precision Plastics,33 Scammel Street
Global Industrial Group,49 Jesica Road
Campbellfield Recycling and Waste Transfer  Station,71 Bolinda Road
Caramut Transfer Station,Sawmill Road
Carisbrook Transfer Station & Resource Recovery Centre,Potts Lane
Carranballac Drop Off Facility,Darlington Carranballac Road
Casteron Resource Recovery Centre,291 Bahgallah Road
Castlemaine Transfer Station,Sluicers Road
Cavendish Resource Recovery Centre,2478 Henty Highway
Astron Sustainability,103 Bernard Street
Chetwynd Transfer Station,Chetwynd Cemetery Road
Bingo Clayton South Recycling Centre,90 Fairbank Road
Cleanaway Clayton South Resource Recovery Centre,Fraser Road & Deals Road
Yarra Recycling Centre,168 Roseneath Street
Yarra Recycling Centre,168 Roseneath Street
Club Terrace Trailer,School Road
Cobram Transfer Station,56 Pye Road
Coburg Transfer Station,Newlands Road
Cohuna Transfer Station,150 Chuggs Road
Western Waste Management Resource Recovery Centre,11-27 Marriner Street
Colbinabbin Resource Recovery Centre,89 Cemetery Road
Coldstream Recovery and Waste Transfer Station,Corner Ingram Road & Leonard Road
Coleraine Resource Recovery Centre,Robertson Street
Combienbar Trailer,Combienbar Road
Vicfoam,430 Barry Road
Corryong Transfer Station,Sugarloaf Road
Cowangie Hard Waste Compound ,39 Dayman Street
Cowes Recycling Facility,Cnr Settlement Road & Dunsmore Road
Creswick Transfer Station,32 Anne Street
Killarney Transfer Station,12 Badhams Road
Crowlands Drop Off Facility,Spring Flat Road
Cullulleraine Transfer Station,Sturt Highway
Bingo Dandenong,3/44-48 Mills Road
Dandenong Resource and Recovery Facility,72-74 Ordish Road
Garden City Plastics,10 EJ Court
EQ Plastics,16 Egan Road
Martogg LCM Victoria ,185 Frankston-Dandenong Road
Polyfoam,24-36 Dandenong Street
Cleanaway Dandenong South Solid Waste Depot,349 Perry Road
Cleanaway Dandenong South Transfer Station,72-76 Thomas Murrell Crescent
Dargo Transfer Station,Kings Road
Dartmoor Resource Recovery Centre,271 Bowds Lane
Daylesford Transfer Station,Ajax Road
Deddick Trailer,McKillops Road
Welvic,Tilburn Road
Dellicknora Trailer,McKillops Road
Dergholm Transfer Station,Quinn Road
Unipod,40 Buys Court
Derrinallum Transfer Station,Heards Road
Dimboola Transfer Station,Dimboola-Warracknabeal Road
Dingee Transfer Station,Lawry's Road
Dinner Plain Resource Recovery Centre,Scrubbers End
Dromana Hopper,256 Boundary Road
Vins Bins,45 Brasser Avenue
